ym,tmean,tmax,tmin,rh,precip,n_tmean,n_rh,n_precip,days_expected,days_missing,longest_gap,n_calibrated,wmo_valid,dtr,year,month
2006-06-01,7.603448275862069,14.448275862068966,-0.4933333333333333,56.52413793103448,0.0,29,29,29,30,1,1,0,True,14.9416091954023,2006,6
2006-07-01,6.73,14.546666666666665,-1.941935483870968,51.37,0.0,30,30,31,31,1,1,0,True,16.488602150537634,2006,7
2006-08-01,8.936666666666667,15.506666666666666,0.9548387096774194,55.86666666666667,,30,30,24,31,1,1,0,True,14.551827956989246,2006,8
2006-09-01,10.339551367214915,16.733333333333334,1.66,52.04,21.2,27,25,26,30,3,1,2,True,15.073333333333334,2006,9
2006-10-01,11.943020447656973,17.503225806451614,4.032258064516129,54.303703703703704,37.4,31,27,28,31,0,0,4,True,13.470967741935485,2006,10
2006-11-01,12.487570687761805,17.551724137931036,5.653333333333333,,53.800000000000004,29,22,28,30,1,1,7,True,11.898390804597703,2006,11
2006-12-01,12.466655059930334,17.574193548387097,5.793548387096774,64.88,101.5,31,25,29,31,0,0,6,True,11.780645161290323,2006,12
2007-01-01,12.238877596325024,17.251612903225805,6.206451612903226,,84.8,31,23,27,31,0,0,8,True,11.045161290322579,2007,1
2007-02-01,11.852476436960364,16.657142857142855,6.1499999999999995,69.36,171.0,28,25,27,28,0,0,3,True,10.507142857142856,2007,2
2007-03-01,10.609002184948324,15.21290322580645,5.625806451612903,75.08928571428571,236.70000000000002,31,28,30,31,0,0,3,True,9.587096774193547,2007,3
2007-04-01,10.663453109077556,15.786666666666667,4.553333333333333,70.17241379310344,49.699999999999996,30,29,30,30,0,0,1,True,11.233333333333334,2007,4
2007-05-01,9.979999999999999,15.973333333333333,2.109677419354839,57.78,10.6,30,30,28,31,1,1,0,True,13.863655913978494,2007,5
2007-06-01,8.848148148148148,15.555555555555555,0.4266666666666667,56.06296296296296,0.0,27,27,29,30,3,1,0,True,15.12888888888889,2007,6
2007-07-01,7.924137931034483,14.427586206896551,-0.40645161290322585,52.38965517241379,3.3,29,29,30,31,2,1,0,True,14.834037819799777,2007,7
2007-08-01,9.74,16.433333333333334,0.667741935483871,50.083333333333336,1.6,30,30,30,31,1,1,0,True,15.765591397849462,2007,8
2007-09-01,10.212901876042732,15.44,3.1599999999999997,64.48965517241379,61.300000000000004,30,29,29,30,0,0,1,True,12.28,2007,9
2007-10-01,12.001340597490286,17.464285714285715,3.664516129032258,58.78076923076923,77.0,28,26,29,31,3,1,2,True,13.799769585253458,2007,10
2007-11-01,11.881333545409555,17.214814814814815,3.4866666666666664,62.62692307692308,44.2,27,26,28,30,3,1,1,True,13.728148148148149,2007,11
2007-12-01,12.14285837593715,17.29655172413793,5.141935483870968,66.50357142857142,74.1,29,28,29,31,2,1,1,True,12.154616240266963,2007,12
2008-01-01,10.882268476012234,15.648275862068965,6.141935483870968,75.11851851851851,209.70000000000002,29,27,30,31,2,1,2,True,9.506340378197997,2008,1
2008-02-01,11.404543763801593,15.964285714285714,5.337931034482759,69.4076923076923,85.8,28,26,28,29,1,1,2,True,10.626354679802954,2008,2
2008-03-01,11.027588533520047,15.520000000000001,5.0600000000000005,,95.39999999999999,29,24,29,31,2,1,5,True,10.46,2008,3
2008-04-01,10.697454403803931,16.279999999999998,2.4133333333333336,59.300000000000004,8.4,30,29,30,30,0,0,1,True,13.866666666666664,2008,4
2008-05-01,8.796666666666665,15.526666666666667,-0.4645161290322581,49.983333333333334,6.8,30,30,30,31,1,1,0,True,15.991182795698926,2008,5
2008-06-01,8.715385661515374,15.666666666666666,-0.8133333333333332,43.55862068965517,1.4,30,29,30,30,0,0,1,True,16.48,2008,6
2008-07-01,7.367741935483871,15.116129032258065,-1.5032258064516129,47.70322580645161,0.2,31,31,30,31,0,0,0,True,16.61935483870968,2008,7
2008-08-01,8.925806451612903,16.2,-0.4774193548387097,47.516129032258064,0.8,31,31,31,31,0,0,0,True,16.677419354838708,2008,8
2008-09-01,10.510344827586207,17.227586206896554,0.7666666666666667,47.16206896551724,2.4,29,29,28,30,1,1,0,True,16.460919540229888,2008,9
2008-10-01,11.982739751067603,17.273333333333333,3.903225806451613,53.97931034482759,79.4,30,29,30,31,1,1,1,True,13.370107526881721,2008,10
2008-11-01,13.203871199647647,18.253333333333334,5.14,52.885714285714286,27.2,30,28,26,30,0,0,2,True,13.113333333333333,2008,11
2008-12-01,11.579255034259958,16.66896551724138,5.316129032258065,,144.2,29,21,31,31,2,1,8,True,11.352836484983314,2008,12
2009-01-01,11.83230634976355,16.36774193548387,5.483870967741935,,154.0,31,21,29,31,0,0,10,True,10.883870967741935,2009,1
2009-02-01,11.349192723387697,16.0,6.185714285714285,,136.1,28,22,28,28,0,0,6,True,9.814285714285715,2009,2
2009-03-01,11.483110817998819,15.95483870967742,5.025806451612904,63.5037037037037,148.3,31,27,29,31,0,0,4,True,10.929032258064517,2009,3
2009-04-01,10.992097724798954,15.28,3.566666666666667,60.54137931034483,83.0,30,29,29,30,0,0,1,True,11.713333333333333,2009,4
2009-05-01,9.68198487108613,16.04516129032258,0.8451612903225806,50.53333333333333,0.4,31,30,30,31,0,0,1,True,15.199999999999998,2009,5
2009-06-01,7.6,15.106666666666666,-2.12,44.25,0.0,30,30,30,30,0,0,0,True,17.226666666666667,2009,6
2009-07-01,8.832258064516129,15.535483870967743,-0.5419354838709678,44.516129032258064,2.5,31,31,30,31,0,0,0,True,16.07741935483871,2009,7
2009-08-01,9.1,16.386666666666667,-1.070967741935484,40.486666666666665,0.0,30,30,31,31,1,1,0,True,17.45763440860215,2009,8
