ym,tmean,rh,precip,n_rh,n_precip,wmo_valid,days_expected,n_reconstructed,days_missing,year,month,frac_reconstructed
2007-05-01,9.979999999999999,57.78,10.6,30,28,True,31,0,1,2007,5,0.0
2007-06-01,8.848148148148148,56.06296296296296,0.0,27,29,True,30,0,3,2007,6,0.0
2007-07-01,7.924137931034483,52.38965517241379,3.3,29,30,True,31,0,2,2007,7,0.0
2007-08-01,9.74,50.083333333333336,1.6,30,30,True,31,0,1,2007,8,0.0
2007-09-01,10.186666666666667,64.48965517241379,61.300000000000004,29,29,True,30,1,0,2007,9,0.03333333333333333
2007-10-01,11.95,58.78076923076923,77.0,26,29,True,31,2,3,2007,10,0.06451612903225806
2007-11-01,11.855555555555556,62.62692307692308,44.2,26,28,True,30,1,3,2007,11,0.03333333333333333
2007-12-01,12.120689655172415,66.50357142857142,74.1,28,29,True,31,1,2,2007,12,0.03225806451612903
2008-01-01,10.837931034482759,75.11851851851851,209.70000000000002,27,30,True,31,2,2,2008,1,0.06451612903225806
2008-02-01,11.346428571428572,69.4076923076923,85.8,26,28,True,29,2,1,2008,2,0.06896551724137931
2008-03-01,10.9,,95.39999999999999,24,29,True,31,5,2,2008,3,0.16129032258064516
2008-04-01,10.666666666666666,59.300000000000004,8.4,29,30,True,30,1,0,2008,4,0.03333333333333333
2008-05-01,8.796666666666665,49.983333333333334,6.8,30,30,True,31,0,1,2008,5,0.0
2008-06-01,8.683333333333334,43.55862068965517,1.4,29,30,True,30,1,0,2008,6,0.03333333333333333
2008-07-01,7.367741935483871,47.70322580645161,0.2,31,30,True,31,0,0,2008,7,0.0
2008-08-01,8.925806451612903,47.516129032258064,0.8,31,31,True,31,0,0,2008,8,0.0
2008-09-01,10.510344827586207,47.16206896551724,2.4,29,28,True,30,0,1,2008,9,0.0
2008-10-01,11.963333333333333,53.97931034482759,79.4,29,30,True,31,1,1,2008,10,0.03225806451612903
2008-11-01,13.16,52.885714285714286,27.2,28,26,True,30,2,0,2008,11,0.06666666666666667
2008-12-01,11.386206896551723,,144.2,21,31,True,31,8,2,2008,12,0.25806451612903225
2009-01-01,11.596774193548388,,154.0,21,29,True,31,10,0,2009,1,0.3225806451612903
2009-02-01,11.203571428571427,,136.1,22,28,True,28,6,0,2009,2,0.21428571428571427
2009-03-01,11.393548387096773,63.5037037037037,148.3,27,29,True,31,4,0,2009,3,0.12903225806451613
2009-04-01,10.963333333333333,60.54137931034483,83.0,29,29,True,30,1,0,2009,4,0.03333333333333333
2009-05-01,9.658064516129032,50.53333333333333,0.4,30,30,True,31,1,0,2009,5,0.03225806451612903
2009-06-01,7.6,44.25,0.0,30,30,True,30,0,0,2009,6,0.0
2009-07-01,8.832258064516129,44.516129032258064,2.5,31,30,True,31,0,0,2009,7,0.0
2009-08-01,9.1,40.486666666666665,0.0,30,31,True,31,0,1,2009,8,0.0
2009-09-01,11.410344827586206,46.45384615384615,16.4,26,30,True,30,3,1,2009,9,0.1
2009-10-01,12.696666666666665,51.75185185185185,56.4,27,31,True,31,3,1,2009,10,0.0967741935483871
2009-11-01,12.686206896551724,,88.89999999999999,17,27,True,30,12,1,2009,11,0.4
2009-12-01,12.92,,62.5,22,30,True,31,8,1,2009,12,0.25806451612903225
2010-01-01,12.280645161290321,,99.3,24,28,True,31,7,0,2010,1,0.22580645161290322
2010-02-01,12.069230769230769,,192.8,16,28,True,28,10,2,2010,2,0.35714285714285715
2010-03-01,12.625806451612902,64.25384615384615,56.300000000000004,26,26,True,31,5,0,2010,3,0.16129032258064516
2010-04-01,12.133333333333333,59.13928571428572,12.3,28,25,True,30,2,0,2010,4,0.06666666666666667
2010-05-01,10.683333333333334,56.282758620689656,16.1,29,30,True,31,1,1,2010,5,0.03225806451612903
2010-06-01,9.93,52.35333333333333,0.0,30,30,True,30,0,0,2010,6,0.0
2010-07-01,8.716129032258063,45.306451612903224,0.0,31,30,True,31,0,0,2010,7,0.0
2010-08-01,9.843333333333334,46.521428571428565,7.1,28,31,True,31,2,1,2010,8,0.06451612903225806
2010-09-01,11.623333333333333,49.406666666666666,2.9,30,30,True,30,0,0,2010,9,0.0
2010-10-01,12.185185185185185,,33.4,22,26,True,31,5,4,2010,10,0.16129032258064516
