model,n_train,start,seed,mae
Multilayer Perceptron,70,40,3,0.5519071358126663
Multilayer Perceptron,70,40,4,1.495212286868884
Multiple Linear Regression,70,53,42,0.4180957466866649
Random Forest,70,53,0,0.5174524206218474
Random Forest,70,53,1,0.5183766369679069
Random Forest,70,53,2,0.504171216552538
Random Forest,70,53,3,0.5101891642611227
Random Forest,70,53,4,0.5088729081335692
Multilayer Perceptron,70,53,0,1.1668159617057845
Multilayer Perceptron,70,53,1,0.642364788366461
Multilayer Perceptron,70,53,2,0.8562323561249198
Multilayer Perceptron,70,53,3,0.746877523128039
Multilayer Perceptron,70,53,4,1.0635159159020373
Multiple Linear Regression,70,67,42,0.4036003329391926
Random Forest,70,67,0,0.5050166039474883
Random Forest,70,67,1,0.4946476720144133
Random Forest,70,67,2,0.5070735056476835
Random Forest,70,67,3,0.5109757924248978
Random Forest,70,67,4,0.5047445293778787
Multilayer Perceptron,70,67,0,0.5268331455603859
Multilayer Perceptron,70,67,1,0.6135638893706102
Multilayer Perceptron,70,67,2,0.7515695414808768
Multilayer Perceptron,70,67,3,0.6518291771266786
Multilayer Perceptron,70,67,4,0.6785312626860736
Multiple Linear Regression,80,0,42,0.8070117516267786
Random Forest,80,0,0,0.4839548909078252
Random Forest,80,0,1,0.4829193867996857
Random Forest,80,0,2,0.48823252353307367
Random Forest,80,0,3,0.4919877360129401
Random Forest,80,0,4,0.4817466428385504
Multilayer Perceptron,80,0,0,2.166817074807062
Multilayer Perceptron,80,0,1,3.9305001550590952
Multilayer Perceptron,80,0,2,3.122173670957564
Multilayer Perceptron,80,0,3,2.3226664969205677
Multilayer Perceptron,80,0,4,2.8542839791636987
Multiple Linear Regression,80,11,42,0.5760893776416333
Random Forest,80,11,0,0.49663464621272607
Random Forest,80,11,1,0.494109022765852
Random Forest,80,11,2,0.4894882488363263
Random Forest,80,11,3,0.49135396862696057
Random Forest,80,11,4,0.49547095790308293
Multilayer Perceptron,80,11,0,2.2824637167354735
Multilayer Perceptron,80,11,1,2.1613507142859967
Multilayer Perceptron,80,11,2,1.5701523735234617
Multilayer Perceptron,80,11,3,1.5971342613175183
Multilayer Perceptron,80,11,4,2.12122235485486
Multiple Linear Regression,80,22,42,0.44409671880060075
Random Forest,80,22,0,0.5078833224595941
Random Forest,80,22,1,0.5064987704851984
Random Forest,80,22,2,0.517343700099812
Random Forest,80,22,3,0.5015445916028312
Random Forest,80,22,4,0.5036274691743724
Multilayer Perceptron,80,22,0,1.1650109528086998
Multilayer Perceptron,80,22,1,0.8934013676157284
Multilayer Perceptron,80,22,2,0.8693044370291577
Multilayer Perceptron,80,22,3,0.5183506158364299
Multilayer Perceptron,80,22,4,1.2247467781877315
Multiple Linear Regression,80,34,42,0.42311359767874746
Random Forest,80,34,0,0.5131397761588975
Random Forest,80,34,1,0.5114948083402079
Random Forest,80,34,2,0.5093176915803582
Random Forest,80,34,3,0.5099456248160092
Random Forest,80,34,4,0.5155280673136361
Multilayer Perceptron,80,34,0,0.9899514595482861
Multilayer Perceptron,80,34,1,0.8155881241772671
Multilayer Perceptron,80,34,2,1.5047370226023313
Multilayer Perceptron,80,34,3,0.5169900545009339
Multilayer Perceptron,80,34,4,1.6776918450644767
Multiple Linear Regression,80,45,42,0.4168413108061544
Random Forest,80,45,0,0.500087208778747
Random Forest,80,45,1,0.5082843546071553
Random Forest,80,45,2,0.49916069477212194
Random Forest,80,45,3,0.5150831935887609
Random Forest,80,45,4,0.498842682050209
Multilayer Perceptron,80,45,0,0.755117084432643
Multilayer Perceptron,80,45,1,0.8034364553105282
Multilayer Perceptron,80,45,2,1.429785913391143
Multilayer Perceptron,80,45,3,0.6807563065077318
Multilayer Perceptron,80,45,4,1.247348826401189
Multiple Linear Regression,80,57,42,0.399450286322932
Random Forest,80,57,0,0.4943398101190212
Random Forest,80,57,1,0.5032992647074743
Random Forest,80,57,2,0.4841522757857369
Random Forest,80,57,3,0.4960984522106549
Random Forest,80,57,4,0.49561136144650647
Multilayer Perceptron,80,57,0,0.618855116664681
Multilayer Perceptron,80,57,1,0.6543718331917555
Multilayer Perceptron,80,57,2,0.7989070961447885
Multilayer Perceptron,80,57,3,0.8155664756110721
Multilayer Perceptron,80,57,4,0.7128009753679255
Multiple Linear Regression,90,0,42,0.5352476724192178
Random Forest,90,0,0,0.4983989990417049
Random Forest,90,0,1,0.49268812437715565
Random Forest,90,0,2,0.4809311316715513
Random Forest,90,0,3,0.491545725186419
Random Forest,90,0,4,0.48831139285188907
Multilayer Perceptron,90,0,0,1.7246357815987814
Multilayer Perceptron,90,0,1,2.1951912424546305
Multilayer Perceptron,90,0,2,1.854625178082252
Multilayer Perceptron,90,0,3,1.4221019656709328
Multilayer Perceptron,90,0,4,1.9170580880560095
Multiple Linear Regression,90,9,42,0.5223241584812413
Random Forest,90,9,0,0.488516837137345
Random Forest,90,9,1,0.48939548894779367
Random Forest,90,9,2,0.48577698691966453
Random Forest,90,9,3,0.5080140685639061
Random Forest,90,9,4,0.4967397935234195
Multilayer Perceptron,90,9,0,1.0915600681198665
Multilayer Perceptron,90,9,1,1.201863939203153
Multilayer Perceptron,90,9,2,1.2030700633933717
Multilayer Perceptron,90,9,3,1.0608883770454927
Multilayer Perceptron,90,9,4,1.1432000828911568
Multiple Linear Regression,90,18,42,0.46260668326642784
Random Forest,90,18,0,0.5137471393435818
Random Forest,90,18,1,0.5069138939985723
Random Forest,90,18,2,0.5074937754550912
Random Forest,90,18,3,0.5020485645918329
Random Forest,90,18,4,0.51097749163643
Multilayer Perceptron,90,18,0,0.6694198528246449
Multilayer Perceptron,90,18,1,0.566859547073745
Multilayer Perceptron,90,18,2,0.5677384837680799
Multilayer Perceptron,90,18,3,0.6034015005222911
Multilayer Perceptron,90,18,4,0.8230023567162338
Multiple Linear Regression,90,28,42,0.42840225364804785
Random Forest,90,28,0,0.4895284859167596
Random Forest,90,28,1,0.49124093049627743
Random Forest,90,28,2,0.487270668859488
Random Forest,90,28,3,0.48398145573169193
Random Forest,90,28,4,0.4779292104890514
Multilayer Perceptron,90,28,0,0.503564883237986
Multilayer Perceptron,90,28,1,0.6381120598712072
Multilayer Perceptron,90,28,2,0.6028453765608897
Multilayer Perceptron,90,28,3,0.7132154662125507
Multilayer Perceptron,90,28,4,0.927046023485477
Multiple Linear Regression,90,37,42,0.4132722982995163
Random Forest,90,37,0,0.49619265862720285
Random Forest,90,37,1,0.4904296831832355
Random Forest,90,37,2,0.4783169128757633
