ym,tmean_senamhi,tmean_nasa
2011-07-01,8.154838709677419,5.163225806451613
2011-08-01,10.19,6.71741935483871
2011-09-01,10.619895840045665,7.35
2011-10-01,12.053724690462404,8.945806451612903
2011-11-01,13.398166479700892,10.359
2011-12-01,11.834232775949692,9.12
2012-01-01,11.425375976763442,8.5
2012-02-01,10.24408880380009,8.092068965517242
2012-03-01,10.736089302092388,7.951290322580645
2012-04-01,10.698453789150262,7.362333333333334
2012-05-01,8.961290322580645,6.233548387096774
2012-06-01,8.163333333333334,5.400666666666667
2012-07-01,8.106451612903227,5.389032258064516
2012-08-01,9.213333333333331,5.926774193548387
2012-09-01,10.993857559103285,7.899333333333333
2012-10-01,12.788395500862672,9.67451612903226
2012-12-01,11.304475740060056,9.252258064516129
2013-01-01,11.089831519465363,8.662580645161292
2013-02-01,10.9459209215841,9.043214285714287
2013-03-01,11.380671008779046,9.129677419354838
2013-04-01,10.576354985120288,8.320666666666666
2013-05-01,9.780559955736074,7.228064516129032
2013-06-01,7.803571428571429,4.973333333333333
2013-07-01,7.944827586206896,5.359677419354839
2013-08-01,8.437626890152101,5.747096774193548
2013-09-01,10.300239551488447,7.499
2013-10-01,11.64825824922768,9.04225806451613
2013-11-01,12.323847513592632,9.919333333333332
2013-12-01,11.36760310148461,9.326129032258065
2014-01-01,11.051848043873331,9.039354838709677
2014-02-01,11.533797878411212,9.225357142857144
2014-03-01,11.2,9.123225806451613
2014-04-01,10.721890203206913,8.602
2014-05-01,9.778303951664622,6.486129032258065
2014-06-01,9.568051033455667,6.3340000000000005
2014-07-01,8.864516129032259,5.153870967741936
2014-08-01,9.171889912417804,6.203225806451614
2014-09-01,9.848751024745107,7.183666666666666
2014-10-01,11.013471772253448,8.537096774193548
2014-11-01,12.398335981561024,9.575333333333333
2014-12-01,12.53667805789406,9.736451612903226
2015-01-01,10.539144505306322,8.163225806451614
